Livsmedelsnamn;Livsmedelsnummer;Energi (kcal);Energi (kJ);Kolhydrater (g);Fett (g);Protein (g);Fibrer (g);Vatten (g);Alkohol (g);Aska (g);Monosackarider (g);Disackarider (g);Sackaros (g);Fullkorn totalt (g);Sockerarter (g);Summa mättade fettsyror (g);Fettsyra 4:0-10:0 (g);Laurinsyra C12:0 (g);Myristinsyra C14:0 (g);Palmitinsyra C16:0 (g);Stearinsyra C18:0 (g);Arakidinsyra C20:0 (g);Summa enkelomättade fettsyror (g);Palmitoljesyra C16:1 (g);Oljesyra C18:1 (g);Summa fleromättade fettsyror (g);Linolsyra C18:2 (g);Linolensyra C18:3 (g);Arakidonsyra C20:4 (g);EPA (C20:5) (g);DPA (C22:5) (g);DHA (C22:6) (g);Kolesterol (mg);Retinol (µg);Vitamin A (RE);β-Karoten (µg);Vitamin D (µg);Vitamin E (mg);Vitamin K (µg);Tiamin (mg);Riboflavin (mg);Vitamin C (mg);Niacin (mg);Niacinekvivalenter (NE);Vitamin B6 (mg);Vitamin B12 (µg);Folat (µg);Fosfor (mg);Jod (µg);Järn (mg);Kalcium (mg);Kalium (mg);Koppar (mg);Magnesium (mg);Natrium (mg);Salt (g);Selen (µg);Zink (mg);Stärkelse (g);Avfall (skal etc.) (%)
Saffransris;5305;116;487;21,88;1,96;2,32;0,34;72,54;0;0,97;0,17;0,08;0,09;0;0,3;0,66;0,08;0,03;0,09;0,32;0,1;0,01;0,83;0,02;0,78;0,35;0,26;0,09;0;0;0;0;2,45;5,7;7,6;23;0,01;0,29;;0,01;0,01;0,1;0,17;0,55;0,1;0;3,2;39,5;24;0,02;2,3;24,7;;3,9;303,4;0,76;0;0,37;;
Gris kött rå;5447;155;647;0;8,67;19,19;0;71,05;0;1,09;0;0;0;0;0;3,71;0,01;0,01;0,15;2,21;1,29;0,02;3,58;0,29;3,17;0,95;0,74;0,04;0,02;0,01;0,02;0,03;57;9;9;0;0,56;0,4;;0,79;0,28;0;6,68;10,2;0,48;0,67;3,6;178,4;0,2;1,26;8,6;337,8;;24,6;61;0,15;9,99;2,42;;17,2
Gratäng zucchinigratäng m. kalvfärs;5452;118;493;3,15;8,77;6,12;1,37;79,56;0;1,04;2,34;0,46;0,2;0;2,8;4,58;0,39;0,16;0,59;2,27;0,97;0,02;2,96;0,19;2,65;0,54;0,39;0,11;0,01;0;0,01;0;27,98;47,7;73,9;313;0,04;0,89;;0,07;0,07;10;1,54;2,72;0,11;0,33;14,7;89,5;11,3;0,67;55,4;227,3;;18,6;108,7;0,27;1,99;1,42;;
Pastagratäng m. kyckling;5665;175;731;8,98;11,88;7,65;1,05;68,68;0;1,74;0,93;1,02;0,28;0;2;6,87;0,96;0,3;0,99;3,25;1,22;0,02;3,32;0,2;3,02;0,64;0,53;0,12;0,01;0;0;0;49,37;86,6;128,4;496;0,21;0,95;;0,06;0,13;6,6;2,2;3,65;0,1;0,23;18,9;117;8,5;0,59;71;224,4;;24,2;427,2;1,07;7,55;0,72;;
Minimjölk fett < 0,1% berikad;5727;35;147;4,9;0,05;3,61;0;90,6;0;0,84;0;4,93;0;0;4,9;0,03;0;0;0,01;0,02;0,01;0;0,01;0;0,01;0;0;0;0;0;0;0;2,1;4,6;4,7;1;1;0;0;0,05;0,15;0,6;0,07;0,9;0,05;0,59;14,8;105;12,2;0,02;124;166;0,01;11;41;0,1;1,64;0,44;0;0
Örtagårdssås m. gräddfil;5753;285;1192;4,9;28,66;2,58;0,53;60,91;0;2,34;0,84;2,54;0,7;0;3,4;6,54;0,66;0,2;0,67;3,52;1,22;0,12;16,01;0,2;15,44;4,5;3,26;1,2;0,01;0;0;0,01;37,68;66,7;142,6;911;0,22;5,7;;0,05;0,15;19,9;0,39;0,95;0,07;0,2;27,3;70,1;83,7;0,7;122,9;207,3;;14,2;633,1;1,58;2,2;0,58;;0,9
Köttfärssås Bolognese m. nötfärs bacon;5756;109;457;3,08;7,02;7,55;0,89;78,67;0,33;1,88;1,48;0,72;0,71;0;2,2;2,28;0;0;0,12;1,28;0,72;0,02;3,41;0,18;3,12;0,95;0,68;0,21;0,01;0;0,01;0;21,17;10,3;94,7;861;0,19;1,07;;0,06;0,05;2,4;1,73;3,08;0,1;0,26;7,2;79,3;26,3;0,77;17,4;159,3;;14,6;472,6;1,18;2,19;1,66;;
Aioli;5758;765;3201;1,35;85,14;1,61;0,12;10,65;0;0,84;0,13;0,05;0,04;0;0,2;9,01;0;0;0,05;6,38;1,87;0,41;55,74;0,55;53,99;16,46;12,07;4,29;0,03;0;0;0,02;73,02;51,7;52,1;4;0,67;19,87;;0,03;0,05;1,8;0,02;0,39;0,02;0,29;18,3;46,9;32,1;0,39;37,9;33,5;;7;215,8;0,54;5,23;0,31;;0,4
Guacamole;5759;140;585;2,62;13,11;1,63;3,5;77,04;0;2,11;1,03;0,22;0,15;0;1,2;2,29;0;0;0;2,21;0,06;0,01;8,49;0,99;7,44;1,73;1,63;0,1;0;0;0;0;0;0;15,8;172;0;2,55;;0,06;0,07;15,4;1,37;1,64;0,28;0;83,1;53,9;31,2;0,28;15,8;477,1;;25,1;244,2;0,61;0,32;0,31;;22,9
Pasta carbonara m. pasta fläsk grädde;5804;191;801;19,3;8,12;9,52;1,37;60;0;1,6;0,05;0,77;0,06;0;0,9;3,98;0,31;0,13;0,45;2,12;0,87;0,01;2,71;0,16;2,43;0,67;0,55;0,06;0,02;0;0;0,01;54,93;59,9;61,6;20;0,51;0,84;;0,08;0,16;0,1;0,75;2,7;0,05;0,42;13,6;142,2;39,4;0,68;124,4;69,8;;18,9;416,4;1,04;3,96;0,82;;
Mandeldryck;5828;26;109;3,5;1,3;0;0,2;94,5;0;0,55;0;3,1;3,1;0;3,1;0,12;0;0;0,01;0,08;0,02;0;0,81;0;0,8;0,26;0,25;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,09;0,1;0;0;0,4;67;;0,05;133;16,5;0,02;6,4;49,4;0,12;0;0,04;0;
Fisk m. apelsin chili ugnsstekt;5837;200;839;3,66;12,88;17,57;0,09;64,63;0;1,7;0,9;1,64;1,14;0;2,5;5,3;0,72;0,23;0,77;2,47;0,94;0,04;4,82;0,11;4,54;1,66;1,06;0,45;0,01;0,04;0,01;0,12;74,42;69,1;82,8;164;1,1;2,3;;0,09;0,09;5,1;2,21;5,47;0,09;0,97;15,5;216,7;;0,27;48,7;346,6;;29,3;230,8;0,58;23,73;0,67;;
Pulled pork gris m. marinad tillagad;5847;172;718;5,3;8,3;18,5;0,8;64,9;0;2,2;0,42;2,1;2,1;0;2,5;2,65;0;0;0,08;1,64;0,93;0;4,26;0,17;4,02;1;0,8;0,14;0,06;0;0;0;56,7;10,7;20,3;87;0,88;1,25;10,8;0,44;0,29;0,2;5,52;8,9;0,28;0,35;2,6;222;0;1,3;13,9;416;0,1;29,8;521;1,3;9,9;2,7;0,41;
Tropisk juice drickf.;5859;44;183;10,5;0;0,25;0;89;0;0,25;7;2,3;2,3;0;9,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,2;54;0;0,1;0,2;0,02;0;5,1;0,16;0,2;0,05;0;7,9;8,2;0,9;0,09;11,3;91;0,02;6,8;4;0,01;0;0,05;0;
Sojabönor färska förvällda u. skal;5860;130;546;4,9;6,4;10,87;5,1;71,4;0;1,37;0;1,7;1;0;1,7;0,72;0,01;0;0,01;0,49;0,16;0,02;2,2;0;2,17;2,2;1,9;0,29;0;0;0;0;0;0;11,1;117;0;1,41;46,4;0,28;0,1;15,7;1,05;2,9;0,14;0;323;146;0;2,2;89,3;374;0,35;54,3;6,9;0,02;0;1,2;6,5;
Sparris grön kokt m. salt;5861;22;91;1,8;0,2;1,94;2,5;92,9;0;0,69;1,7;0;0;0;1,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24,5;289;0;1,19;40,8;0,09;0,12;5,4;0,92;1,2;0,08;0;186;36,7;0;0,48;19,1;163;0,15;9,9;36,5;0,09;3,9;0,44;0;
Kålrot kokt;5862;34;141;5;0,06;1,31;3,9;89,2;0;0,57;4,7;0;0;0;4,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;23;0;0;4,6;0,05;0,04;53,4;1,43;1,6;0,18;0;57,6;33,2;0;0,26;47,3;157;0,03;10,1;8,8;0,02;0;0,16;0;
Brysselkål kokt;5863;41;173;5,5;0;2,63;4,3;86,5;0;1,08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15,8;187;0;0,33;272;0,08;0,08;131;0,58;1;0,26;0;124;61,8;0;0,49;31,8;292;0,08;14,3;93,6;0,23;7;0,28;0;
Rotselleri kokt;5864;25;105;2,7;0,5;1;2,9;92;0;0,91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,3;4;0;0,38;1,1;0,04;0,06;5,7;0,56;0,7;0,24;0;63,6;74;0;0,37;31,6;263;0,1;13,4;45;0,11;0;0,35;0;
Gula ärtor kokta m. salt;5865;128;534;16,4;0,6;8,42;11,2;62,3;0;1,12;0;0,5;0,5;0;0,5;0,31;0,07;0,01;0;0,11;0,09;0,01;0,06;0;0,06;0,08;0,06;0,01;0;0;0;0;0;0;0,2;2;0;0,04;5;0,18;0,05;0,1;0,64;2;0;0;3,8;123;0;1,5;35,5;192;0,3;34,6;126;0,32;0;1,1;18;
Bruna bönor kokta m. salt;5866;137;573;16,8;0,9;8,75;13,2;58,8;0;1,53;0;0;0;0;0;0,22;0;0,06;0;0,11;0,03;0;0,06;0;0,06;0,43;0,19;0,23;0;0;0;0;0;0;0,1;1;0;0,02;8;0,17;0,06;0;0,66;2,1;0,1;0;59,3;190;34,1;2,2;38,8;292;0,33;49;188;0,47;0;1,1;18,9;
Gråärtor kokta m. salt;5867;130;544;16,6;0,5;10,25;8,6;62,3;0;1,72;0;0;0;0;0;0,27;0;0,14;0;0,07;0,05;0;0,05;0;0,05;0,08;0,07;0,01;0;0;0;0;0;0;0,5;6;0;0,21;11;0,02;0,09;0;0,71;2,4;0,08;0;3,8;185;31,7;2;51,8;290;0,54;39,4;250;0,63;7,8;1,6;12,9;
Åkerbönor kokta m. salt;5868;134;562;18,4;0,5;10,25;7,1;62,2;0;1,6;0;0;0;0;0;0,12;0;0,03;0;0,06;0,02;0;0,1;0;0,1;0,18;0,16;0,02;0;0;0;0;0;0;0,2;2;0;0,02;5,4;0,17;0,04;0;0,83;2,5;0,03;0;0;220;25,3;1,5;41,8;278;0,32;45,4;254;0,64;0;1,2;16,2;
Äpple Aroma rött;5869;46;193;10,2;0,05;0;2,2;87,1;0;0,45;7,1;3,7;3,7;0;10,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,4;16;0;0,34;4,4;0,01;0;5,1;0,16;0,2;0,04;0;4,9;5,8;0;0,08;3;58,1;0,03;3,8;0;0;0;0,04;0,43;
Äpple Ingrid Marie rött;5870;49;206;11;0,05;0;2,2;86,5;0;0,25;6,4;3,9;3,9;0;10,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,6;16;0;0,42;3,7;0,01;0,01;4,8;0,11;0,1;0,05;0;1,9;6,3;0;0,11;2,2;67,6;0,03;3,5;0;0;0;0,03;0,4;
Äpple Frida;5871;56;234;12,6;0,05;0;2,2;85;0;0,13;4,8;6,1;6,1;0;10,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8;8;0;0,25;1,6;0,01;0,01;14,1;0,14;0,1;0,04;0;2,4;6,2;0;0,09;2,2;57,3;0,02;3,3;0;0;0;0,02;0;
Äpple Golden delicious Granny Smith grönt;5872;43;182;9,4;0,05;0;2,5;87,9;0;0,17;7,2;1,6;1,6;0;8,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;34;0;0,29;3,5;0,01;0;0;0,1;0,1;0,04;0;2,6;7,9;0;0,08;3,7;62,4;0,05;3,6;0;0;0;0,02;0;
Kyckling pulled chicken tillagad m. marinad;5875;133;555;0,9;5,4;19,57;0,9;70,7;0;2,5;1,28;1,4;1,4;0;2,7;1,42;0;0,01;0,03;1,08;0,3;0;2,39;0,22;2,14;1,27;1,03;0,15;0,06;0,01;0;0,01;72,7;12,5;23,2;100;0,79;1,48;55,6;0,11;0,21;0;6,92;10,5;0,23;0,16;12,6;205;0;0,73;16;361;0,06;31,8;682;1,71;15;1;0,25;
Tacosås;5916;40;166;7;0,05;1,88;1,6;89,5;0;0;3,41;0,55;0,52;0;4;0,02;0;0;0;0,01;0;0;0;0;0,01;0,04;0,03;0,01;0;0;0;0;0;0;43,5;526;0;0,95;1;0,04;0,03;0;0,75;1,1;0,2;0;15,5;33,5;0;0,65;27;325;0,07;16;660;1,65;0;0,15;0;
Hälleflundra odlad Atlanten rå;5926;112;470;0;2,4;20;0;74;0;1,2;0;0;0;0;0;0,53;0;0;0,11;0,33;0,07;0;0,64;0,14;0,3;0,9;0,11;0,02;0,05;0,26;0,04;0,32;50;3;3;0;2,7;0,89;0;0,07;0,14;0;8,2;11,9;0,39;1,8;7;229;6;0,12;6,3;484;0,03;27;45;0,11;30;0,44;0;
Korngryn kokt u. salt;5935;138;578;25,75;1,22;3,62;4,21;64,65;0;0,55;0,16;0,2;0,2;39;0,3;0,22;0;0;0;0,2;0,01;0;0,14;0;0,13;0,5;0,46;0,04;0;0;0;0;0;0;0;0;0;0,1;;0,13;0,04;0;2,24;2,85;0,13;0;7,9;112,2;0,2;1,42;9,4;143,7;0,16;25,6;4,3;0,01;0,39;0,67;;0
Torsk odlad rå;5936;86;358;0;0,5;20;0;79;0;1,2;0;0;0;0;0;0,09;0;0;0;0,06;0,02;0;0,05;0;0,03;0,2;0,01;0;0;0,06;0;0,12;48,4;0;0;0;0;0,47;0;0,02;0,09;0;3,9;7,6;0,26;0,95;5;207;300;0,15;22;424;0,03;26;75;0,19;30;0,54;0;34
Julmust light;5942;0;0;0;0;0;0;100;0;0,01;0,4;7,9;7,9;0;8,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0,9;0,4;0,01;0,1;1,7;0;0;0;0;0
Havregurt naturell berikad;5956;67;282;10,9;2;0,93;0,8;85;0;0,4;0;4,5;0;0;4,5;0,23;0;0;0;0,2;0,03;0;1,23;0;1,23;0,73;0,56;0,08;0,01;0;0;0;0;0;0;0;2;0;0;0,03;0,25;0;0,08;0,2;0,13;0,4;1,3;50;;0,15;135;35;;5;15;0,04;0;0,1;4,5;0
Fraiche m. havre veg. fett 15%;5957;150;628;3;15;0,82;1;80;0;0,21;0;4;0;0;4;4,32;0;0;0;4,3;0,02;0;7,2;0;7;2,53;2;0,53;0;0;0;0;0;0;0;0;0;0;;0,05;0;0;0,07;0,2;0;0;0,2;45;;0,1;120;30;;5;15;0,04;1;0,05;;0
Havrebaserat bredbart pålägg;5961;237;990;11,2;20;3,26;0,5;64;0;1;0;3,5;0,2;0;3,5;8,8;0;3,4;1,3;3,5;0,6;0;7;0;7;3,2;2,3;0,9;0;0;0;0;0;0;0;0;0;0;;0,03;0;0;0;0,5;0,13;0;0;40;35;0,1;100;30;;4;280;0,7;0;0;7,5;
Havregurt smaksatt bägare berikad;5962;96;402;15;3;1,69;0,9;79;0;0,4;0,2;8,3;4,4;0;8,5;0,3;0;0;0;0,28;0,02;0;1,48;0;1,46;0,94;0,77;0,17;0;0;0;0;0;0;0;0;1,5;0;;0,03;0,21;0;0;0,3;0,13;0,38;0;45;0;0,1;120;30;;4;0;0;0;0;4,5;
Havredryck m. apelsin mango;5963;52;218;9,8;0,6;1,22;1,1;87;0;0,3;4;3,5;1,5;8;7,5;0,1;0;0;0;0,06;0;0;0,3;0;0,29;0,19;0,15;0,03;0;0;0;0;0;0;0;0;0;0;;0,03;0;0;0;0,2;0,13;0;0;35;0;0,4;5;30;;10;0;0;0;0,2;4,5;
Havredryck;5964;41;170;7,6;0,5;0,93;0,8;90;0;0,2;0;4;0,1;0;4;0,1;0;0;0;0,1;0;0;0,2;0;0,2;0,2;0,2;0;0;0;0;0;0;0;0;0;0;0;;0,03;0;0;0,08;0,2;0,13;0;0;20;0,1;0,1;5;30;;4;40;0,1;0;0,05;4,5;
Korv grillkorv grillad kött 32-35%;5965;229;958;12,8;16,3;7,58;1,1;59,2;0;3;1,2;0;0;0;1,2;5,7;0;0;0;3,67;1,93;0,03;7,94;0,42;7,38;1,65;1,38;0,16;0,05;0;0;0;42;4,1;4,3;2;0,19;0,56;7;0,18;0,07;0;1,72;3,1;0,07;0,41;2,8;73,6;0;0,61;8,8;165;0,06;8,4;1180;2,95;6,2;0,73;8,1;
Korv falukorv tillagad kött 58%;5966;267;1117;5,4;23,7;8,7;0;59,7;0;2,5;0,41;0;0;0;0,4;8,92;0;0;0,34;5,42;2,98;0,05;11,07;0,56;10,3;2,42;2,03;0,2;0,07;0;0;0;37;4,5;4,5;0;0,34;0,74;9,6;0,33;0,1;0;2,75;4,3;0,14;0,51;0;103;0;0,62;5,9;201;0,04;11,1;898;2,25;6,3;1,1;3,4;0
Korv bratwurst tillagad kryddig kött 73-75%;5967;267;1118;4,5;22,7;11,46;0,8;57,6;0;2,9;0,71;0;0;0;0,7;8,52;0;0;0,32;5,19;2,86;0,04;10,69;0,58;9,91;2,27;1,88;0,22;0,06;0;0;0;45;6,8;9,4;23;0,14;1,31;11,9;0,35;0,13;0;3,34;5,4;0,18;0,57;2,9;149;0;0,97;7,8;246;0,06;14,4;974;2,44;7,3;1,5;3,1;
Blodpudding blodkorv tillagad;5968;218;910;23;9,4;8,56;3,2;53,5;0;2,3;0,43;5,11;4,9;0;5,5;2,31;0;0;0,14;1,38;0,74;0;4,83;0,21;4,56;1,74;1,26;0,47;0;0;0;0;21,8;0;0;0;0;0,5;10,6;0,09;0,04;0;1,06;2,6;0,05;0,12;8,7;92,2;0;18;14,3;200;0,12;28,2;836;2,09;6,7;0,81;12;
Gris sidfläsk el. stekfläsk rimmat stekt;5969;385;1612;0,1;38,3;11,38;0;47,5;0;2,7;0,12;0;0;0;0,1;14,78;0;0;0,47;8,76;5,33;0,07;17,67;0,8;16,53;3,91;3,32;0,29;0,11;0;0;0;54,1;4,5;4,5;0;0;0,94;16,7;0,62;0,14;0;4,69;6,8;0,33;0,54;0;159;0;0,62;5,4;245;0,06;17,7;1010;2,53;9,2;2;0;
Korv kabanoss tillagad kryddig kött 90%;5970;292;1220;1,4;24,8;16,04;0,8;54,2;0;2,8;0,25;0,17;0,17;0;0,4;9,34;0;0;0,31;5,67;3,19;0,05;11,72;0,61;10,9;2,53;2,13;0,19;0,09;0;0;0;52,7;18,1;22,7;39;0,23;1,46;11,3;0,58;0,19;0;4,41;7,4;0,23;0,51;1,2;154;0;0,91;9,2;261;0,07;18,3;920;2,3;10;2;2,6;
Kryddblandning taco;5973;373;1559;72,6;3,55;5,63;12,2;6;0;0;16,68;7,06;5,87;0;23,7;0,54;0;0,01;0,04;0,32;0,14;0,01;1,44;0,01;1,41;1,52;1,4;0,12;0;0;0;0;0;0;121;1450;0;4,9;61;0,16;0,28;0;2,05;3;1,02;0,3;68;195;5,7;11,35;230;675;0,36;84,5;8100;20,25;3,5;1,05;12,9;
Bröd vitt vetetortilla;5974;314;1313;57,5;4,8;8,44;1,75;27,5;0;0;0,63;1,23;0,16;0;1,9;1,4;0;0;0,02;1,02;0,3;0,03;2,14;0,01;2,1;1,22;0,98;0,22;0;0;0;0;0;0;0;0;0;0,45;3,2;0,12;0,02;0;0,9;1,7;0,08;0;8,5;156;0;0,85;15;150;0,13;22;720;1,8;2;0,6;42,95;
Gris färs tillagad u. salt;5978;241;1008;0;19,9;16;0;63,1;0;1;0;0;0;0;0;7,59;0;0;0,25;4,55;2,66;0,04;9,25;0,46;8,63;2,03;1,71;0,15;0,08;0;0;0;59,7;7,6;7,6;0;0;0,52;9,8;0,95;0,22;0;6,47;9,4;0,38;0,58;0;216;0;0,88;6,8;326;0,07;24,7;69,2;0,17;10;2,5;0;
Gris skinka innanlår tillagad;5999;117;489;0;3,8;20,5;0;74,5;0;1,2;0;0;0;0;0;1,24;0;0;0,04;0,8;0,38;0;1,86;0,12;1,71;0,35;0,27;0,02;0,05;0;0;0;75,6;0;0;0;0,09;0,39;7,1;1,27;0,24;0;8,96;12,7;0,6;0,5;0;301;0;0,81;4,5;386;0,09;32,5;64,7;0,16;11;2,2;0;
Gris skinkstek tillagad u. salt;6002;126;529;0;5,1;20;0;73,7;0;1,2;0;0;0;0;0;1,92;0;0;0,07;1,17;0,66;0;2,42;0,14;2,24;0,51;0,4;0,02;0,06;0;0;0;78;0;0;0;0;0,8;10,3;1,19;0,32;0;7,08;10,7;0,46;0,7;0;278;0;1,2;4,8;379;0,09;29,8;63,5;0,16;21;3;0;0
Gris ytterfilé tillagad;6003;120;504;0;5,8;17;0;75,2;0;2;0;0;0;0;0;2,18;0;0;0,08;1,35;0,75;0;2,84;0,15;2,63;0,51;0,41;0,04;0,05;0;0;0;57,4;4,1;4,1;0;0;0,54;6,8;1,13;0,13;0;7,88;11;0,45;0,44;2;275;0;0,48;4,2;336;0,04;25,9;533;1,33;11;1,6;0;0
Gris fläskkotlett tillagad;6004;133;555;0;6;19,6;0;73,2;0;1,2;0;0;0;0;0;2,27;0;0;0,08;1,42;0,74;0;2,96;0,17;2,74;0,48;0,39;0,03;0,04;0;0;0;76,4;0;0;0;0;0,59;7,5;1,38;0,17;0;10,5;14,1;0,54;0,39;0;300;0;0,58;4,6;373;0,06;32,4;61,3;0,15;17;1,9;0;0
Gris fläskfilé tillagad;6005;118;492;0;4,1;20;0;74,7;0;1,2;0;0;0;0;0;1,55;0;0;0,05;0,94;0,54;0;1,69;0,09;1,57;0,49;0,4;0,02;0,06;0;0;0;70,2;0;0;0;0;0,75;6,5;1,56;0,27;0;8,65;12,3;0,51;0,61;0;301;0;0,97;4,5;405;0,09;32,7;56,8;0,14;14;2;0;0
Nöt kalv lever tillagad;6006;150;628;9,3;3,5;20;0;65,5;0;1,7;0;0;0;0;0;1,19;0;0;0;0,28;0,87;0;0,39;0,03;0,36;0,99;0,43;0,07;0,3;0,05;0;0,05;27,2;16070;16101,7;379;0;0,66;5,4;0,22;3,26;32;14,8;18,5;0,68;110;1071;487;0;5,1;4,9;354;11;24,4;92,7;0,23;54;4,5;0;8
Kyckling lever ugnsstekt;6007;124;519;4,5;4,6;16;0;73,7;0;1,2;0;0;0;0;0;1,31;0;0;0;0,73;0,58;0;1;0,06;0,92;1,11;0,71;0,05;0,24;0,03;0;0,05;366;13360;13360;0;1,62;3,22;28,9;0,46;2,06;32;11,1;14;0,57;12,4;1146;363;0;12;6,4;234;0,3;23,3;110;0,28;60;2,7;0;8
Gris lever tillagad;6008;142;594;6;3,2;22;0;65,9;0;2,9;0;0;0;0;0;1,07;0;0;0;0,37;0,67;0;0,35;0,01;0,33;0,95;0,35;0;0,52;0,02;0;0,03;314;15910;15910;0;0,22;1,29;2,2;0,39;4,21;32;15,2;19,2;0,54;27,9;541;448;0;23;5,9;276;0,73;22,7;136;0,34;75;8,8;0;8
Kalkon rökt tunna skivor;6009;98;408;1,1;2,1;18,33;0;74,8;0;3,7;0;0;0;0;0;0,63;0;0,01;0,02;0,47;0,12;0;0,71;0,08;0,62;0,64;0,52;0,06;0,06;0;0;0,01;43,2;0;0;0;0,17;0,13;29,7;0,06;0,08;0;6,84;10,2;0,28;0,8;11,1;474;0;0,35;5,6;270;0,03;22,2;1260;3,15;9,7;1,1;0;0
Korv veg. soja- och veteprotein tillagad typ falukorv;6010;252;1052;14,1;15,3;14,03;1;52,6;0;3;0,16;0,92;0,35;0;1,1;7,77;0,44;2,02;0,89;3,74;0,6;0,04;4,45;0;4,36;2,4;2,12;0,28;0;0;0;0;0;0;0;0;0;1,82;5,6;0,41;0,09;0;0,87;3,2;0,09;0,16;36,6;139;0;18;69,9;300;0,19;45,5;924;2,31;9,3;0,96;5;
Gratäng m. korv rotfrukt;6038;191;800;9,08;14,64;5,47;1,39;67,56;0;1,85;0,7;1,99;0,72;0;2,7;7,32;0,51;0,22;0,83;3,91;1,66;0,03;5,31;0,34;4,82;0,97;0,77;0,12;0,03;0;0,01;0;35,22;62,3;139,5;787;0,23;0,74;;0,16;0,09;8,6;1,97;2,99;0,15;0,35;18,2;96,6;17,9;0,49;42;283,8;0,05;16,2;455,1;1,14;2,94;0,74;;
Pastasås m. lax crème fraiche grädde dill;6052;268;1123;3,1;23,35;12,06;0,25;58,87;0;2,37;0,34;1,41;0,22;0;1,7;12,09;1,6;0,55;1,9;5,67;2,03;0,05;7,01;0,38;6,06;2,08;1,03;0,46;0,06;0,13;0,06;0,25;75,92;145,5;163;210;3,35;2,9;;0,14;0,1;2,8;4,31;6,39;0,3;1,16;8,8;158,3;52,6;0,26;51,2;244,7;;21,3;594,9;1,49;9,45;0,38;;
Cashewnötter rostade m. salt;6053;597;2499;19,2;48,67;18;8,3;2,67;0;3,22;0;5,91;5,91;0;5,9;8,69;0;0;0,01;4,32;3,87;0,3;30,96;0,18;30,63;9,15;8,87;0,28;0;0;0;0;0,27;0;0,6;7;0;0,84;24;0,44;0,14;0,1;0,93;3,9;0,55;0;46,7;486,7;0;5,03;41,7;580;1,83;256,7;286,7;0,72;14,63;4,67;13,33;0
Gris kassler tillagad;6057;148;619;0;8,2;18,57;0;68,83;0;4,4;0;0;0;0;0;3,26;0;0;0,09;1,95;1,18;0,02;3,93;0,19;3,67;0,61;0,49;0,04;0,05;0;0;0;54,1;0;0;0;0;0,47;7,6;0,94;0,12;0;6,91;10,3;0,3;0,32;0;308;0;0,54;4,7;428;0,04;23,4;1410;3,53;12;1,7;0;
Kyckling bröstfilé tillagad u. skinn frysvara;6058;98;408;0;2;19,67;0;76,9;0;1,4;0;0;0;0;0;0,54;0;0;0,01;0,39;0,13;0;0,86;0,07;0,77;0,49;0,35;0,05;0,05;0,01;0;0,01;203;7,8;7,8;0;0,45;1,12;48,1;0,19;0,14;0;11,6;15,2;0,57;0,15;11,1;288;0;0,36;4,6;353;0,03;39,4;223;0,56;16;0,66;0;0
Drickyoghurt smaksatt fett ca 1%;6069;59;248;10,1;0,8;2,76;0;85,7;0;0,6;1,29;7,99;5,05;0;9,3;0,51;0,06;0,03;0,08;0,24;0,07;0;0,19;0,01;0,17;0,03;0,03;0,01;0;0;0;0;4,53;6,5;7,8;14;0,13;0,04;0,3;0,03;0,15;0;0,13;0,8;0;0,18;11,4;76,4;10,1;0,03;106;129;0,01;10,1;34,8;0,09;0;0,32;0;
Ost hårdost eko. fett 28%;6070;352;1473;2,7;27;25,2;0;41,4;0;3,7;0;0;0;0;0;17,46;2,16;0,83;2,78;7,67;2,92;0,05;6,34;0,4;5,56;1,17;0,88;0,25;0,03;0;0;0;69,7;265;273,9;106;0,11;0,73;29;0,02;0,26;0;0;5,9;0;1,75;25,5;458;14,4;0,11;731;73,3;0,03;31,7;483;1,21;0;3,62;0;
Vaniljsås ätf.;6071;109;456;15,3;3,9;3,04;0;77,2;0;0,6;0,03;12,95;8,49;0;13;3,32;0,46;1,53;0,64;0,48;0,21;0,01;0,28;0;0,27;0,06;0,06;0;0;0;0;0;1,96;0;8,5;102;0;0,05;0;0,02;0,11;0;0,11;0,8;0;0;1,9;72,2;10,2;0,03;98,5;136;0,01;9,3;55,7;0,14;0;0,29;0;
